Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2025-01-01;303;13,8;347,3;174,1;1,81
2025-01-01;304;13,9;347,5;186,8;1,92
2025-01-01;305;14,4;348,7;180,6;1,65
2025-01-01;306;13,9;347,6;175,0;1,73
2025-01-01;307;13,9;347,6;167,9;1,68
2025-01-02;303;14,7;349,6;193,6;1,85
2025-01-02;304;14,7;349,8;195,7;1,84
2025-01-02;305;14,0;347,7;169,9;1,61
2025-01-02;306;14,6;349,4;189,8;1,85
2025-01-02;307;14,8;350,0;183,8;1,72
2025-01-03;303;15,1;350,9;195,4;1,76
2025-01-03;304;15,8;352,8;216,6;1,95
2025-01-03;305;16,0;353,2;213,6;1,86
2025-01-03;306;15,2;351,2;202,2;1,78
2025-01-03;307;15,4;351,6;192,6;1,81
2025-01-04;303;15,5;351,9;209,1;1,87
2025-01-04;304;15,5;351,8;212,7;1,9
2025-01-04;305;15,2;350,9;195,7;1,82
2025-01-04;306;16,2;353,8;228,2;1,96
2025-01-04;307;15,6;352,3;198,7;1,79
2025-01-05;303;13,5;346,5;175,1;1,85
2025-01-05;304;13,2;345,8;178,3;1,89
2025-01-05;305;13,3;345,9;163,2;1,76
2025-01-05;306;13,4;346,2;171,3;1,74
2025-01-05;307;13,6;346,7;164,9;1,72
2025-01-06;303;15,0;350,6;195,8;1,86
2025-01-06;304;14,6;349,4;192,7;1,86
2025-01-06;305;14,8;349,9;186,2;1,72
2025-01-06;306;15,5;351,9;209,9;1,93
2025-01-06;307;15,3;351,2;189,6;1,83
2025-01-07;303;12,9;344,8;167,6;1,8
2025-01-07;304;13,6;346,8;182,1;1,87
2025-01-07;305;13,0;345,1;165,9;1,82
2025-01-07;306;13,1;345,5;173,1;1,82
2025-01-07;307;13,5;346,4;163,0;1,65
2025-01-08;303;16,0;353,1;215,1;1,93
2025-01-08;304;15,6;352,1;213,6;2,1
2025-01-08;305;16,1;353,5;215,6;1,91
2025-01-08;306;15,7;352,4;205,1;1,73
2025-01-08;307;16,2;353,5;212,4;1,89
2025-01-09;303;13,8;347,3;168,9;1,8
2025-01-09;304;13,8;347,4;177,2;1,76
2025-01-09;305;13,2;345,4;168,6;1,87
2025-01-09;306;13,3;345,9;169,8;1,85
2025-01-09;307;13,5;346,6;165,3;1,65
2025-01-10;303;15,4;351,7;214,0;1,89
2025-01-10;304;15,2;351,0;207,5;1,91
2025-01-10;305;15,7;352,2;208,7;1,88
2025-01-10;306;15,3;351,3;202,6;1,88
2025-01-10;307;15,7;352,2;200,8;1,82
2025-01-11;303;15,7;352,4;213,4;1,88
2025-01-11;304;16,2;354,0;230,4;2,03
2025-01-11;305;16,0;353,1;217,6;1,84
2025-01-11;306;15,7;352,5;207,3;1,82
2025-01-11;307;15,8;352,7;204,0;1,85
2025-01-12;303;15,8;352,7;216,2;2,01
2025-01-12;304;15,4;351,5;208,9;1,92
2025-01-12;305;15,7;352,2;203,2;1,8
2025-01-12;306;15,4;351,6;207,4;1,89
2025-01-12;307;15,8;352,6;203,8;1,81
2025-01-13;303;13,6;346,7;175,5;1,87
