Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2024-01-01;303;13,4;348,1;315,9;3,1
2024-01-01;304;13,4;348,0;312,4;3,13
2024-01-01;305;13,4;348,4;302,6;3,01
2024-01-01;306;13,5;349,2;312,6;3,04
2024-01-01;307;13,4;349,4;313,6;3,07
2024-01-02;303;14,2;349,6;319,8;3,09
2024-01-02;304;14,2;348,9;314,9;3,1
2024-01-02;305;14,1;348,7;321,8;3,12
2024-01-02;306;14,3;349,4;324,8;3,04
2024-01-02;307;14,2;349,6;311,5;3,08
2024-01-03;303;11,9;348,2;299,1;3,09
2024-01-03;304;11,6;348,7;287,7;3,18
2024-01-03;305;11,8;347,9;293,0;3,1
2024-01-03;306;11,7;348,2;285,3;3,1
2024-01-03;307;11,6;347,3;291,0;3,08
2024-01-04;303;13,5;348,5;308,2;3,02
2024-01-04;304;13,4;348,8;316,9;3,1
2024-01-04;305;13,6;347,8;312,8;3,09
2024-01-04;306;13,3;348,7;308,0;3,07
2024-01-04;307;13,5;348,7;306,1;3,12
2024-01-05;303;12,1;348,8;298,1;3,09
2024-01-05;304;11,8;348,6;293,4;3,09
2024-01-05;305;11,8;347,5;284,7;3,02
2024-01-05;306;11,9;348,4;291,5;3,06
2024-01-05;307;11,9;347,3;294,6;3,15
2024-01-06;303;15,0;349,2;330,5;3,05
2024-01-06;304;14,9;348,5;329,6;3,14
2024-01-06;305;14,9;349,3;322,9;3,08
2024-01-06;306;15,3;350,0;343,2;3,06
2024-01-06;307;15,0;348,7;330,9;3,17
2024-01-07;303;11,8;348,2;296,8;3,04
2024-01-07;304;11,8;347,9;287,7;3,1
2024-01-07;305;11,8;348,5;288,5;3,06
2024-01-07;306;11,8;348,7;303,0;3,04
2024-01-07;307;12,0;348,5;291,8;3,04
2024-01-08;303;15,8;350,6;334,1;3,09
2024-01-08;304;15,9;349,8;339,3;3,05
2024-01-08;305;15,7;349,6;334,5;3,1
2024-01-08;306;15,7;349,9;343,8;3,08
2024-01-08;307;15,8;349,9;346,4;3,12
2024-01-09;303;14,3;349,7;316,1;3,04
2024-01-09;304;14,5;349,3;324,8;3,15
2024-01-09;305;14,6;350,1;317,5;3,09
2024-01-09;306;14,5;349,4;330,9;3,1
2024-01-09;307;14,4;348,9;310,3;3,1
2024-01-10;303;16,5;350,7;350,9;3,07
2024-01-10;304;16,6;349,2;356,7;3,09
2024-01-10;305;16,7;351,0;354,0;3,12
2024-01-10;306;16,5;350,6;350,4;3,06
2024-01-10;307;16,6;350,9;346,1;3,18
2024-01-11;303;12,6;347,7;294,1;3,12
2024-01-11;304;12,4;348,0;308,6;3,08
2024-01-11;305;12,7;347,1;311,7;3,11
2024-01-11;306;12,4;347,9;301,1;3,13
2024-01-11;307;12,6;347,5;293,8;3,12
2024-01-12;303;15,5;350,3;339,8;3,11
2024-01-12;304;15,4;349,8;333,4;3,13
2024-01-12;305;15,7;349,7;334,5;3,12
2024-01-12;306;15,5;350,6;344,8;3,09
2024-01-12;307;15,4;349,8;335,4;3,1
2024-01-13;303;12,5;347,7;310,9;3,14
2024-01-13;304;12,3;348,4;289,7;3,14
2024-01-13;305;12,4;348,6;299,0;3,14
2024-01-13;306;12,3;348,2;297,1;3,21
2024-01-13;307;12,4;348,6;295,3;3,05
2024-01-14;303;15,1;349,8;332,2;3,14
2024-01-14;304;14,8;350,0;334,7;3,2
2024-01-14;305;14,9;351,0;323,2;3,11
2024-01-14;306;14,8;348,6;328,0;3,12
2024-01-14;307;14,7;350,1;321,0;3,03
2024-01-15;303;14,5;349,1;313,7;3,11
2024-01-15;304;14,7;349,2;325,2;3,15
2024-01-15;305;14,4;349,1;331,0;3,12
2024-01-15;306;14,6;350,7;330,1;3,09
2024-01-15;307;14,6;348,3;321,3;3,14
2024-01-16;303;12,6;347,9;302,2;3,11
2024-01-16;304;12,7;348,0;301,3;3,04
2024-01-16;305;12,4;349,3;291,7;3,01
2024-01-16;306;12,5;348,8;301,6;3,05
2024-01-16;307;12,4;348,8;301,3;3,15
2024-01-17;303;14,0;348,4;314,0;3,16
2024-01-17;304;13,9;349,3;318,1;3,17
2024-01-17;305;13,9;350,1;321,5;3,08
2024-01-17;306;14,0;348,7;321,2;3,16
2024-01-17;307;13,8;347,9;316,4;3,12
2024-01-18;303;14,6;350,1;327,4;3,16
2024-01-18;304;14,8;349,2;330,4;3,16
2024-01-18;305;14,6;348,8;322,0;3,11
2024-01-18;306;14,8;349,7;326,0;3,06
2024-01-18;307;14,8;348,4;325,4;3,09
2024-01-19;303;13,3;348,8;307,7;3,09
2024-01-19;304;13,2;348,3;317,3;3,1
2024-01-19;305;13,1;348,6;313,8;3,09
2024-01-19;306;13,5;349,0;310,7;3,08
2024-01-19;307;13,4;348,9;303,8;3,18
2024-01-20;303;16,6;351,0;344,0;3,14
2024-01-20;304;16,8;350,0;352,3;3,09
2024-01-20;305;16,6;351,0;353,6;3,1
2024-01-20;306;16,8;350,7;359,9;3,08
2024-01-20;307;16,6;350,7;343,8;3,19
2024-01-21;303;14,0;348,3;316,8;3,02
2024-01-21;304;13,8;348,2;308,7;3,13
2024-01-21;305;14,1;348,7;320,7;3,05
2024-01-21;306;14,0;350,0;317,6;3,1
2024-01-21;307;13,7;347,3;318,3;3,17
2024-01-22;303;11,6;347,9;290,9;3,15
2024-01-22;304;11,8;347,8;299,8;3,14
2024-01-22;305;11,8;347,1;278,4;3,12
2024-01-22;306;11,8;348,1;290,8;3,09
2024-01-22;307;11,7;348,1;287,8;3,14
2024-01-23;303;14,4;349,1;322,9;3,13
2024-01-23;304;14,5;349,7;325,0;3,07
2024-01-23;305;14,5;348,9;328,9;3,06
2024-01-23;306;14,6;349,2;325,8;3,11
2024-01-23;307;14,5;349,0;322,5;3,13
2024-01-24;303;12,7;349,4;300,7;3,12
2024-01-24;304;12,4;347,8;299,8;3,06
2024-01-24;305;12,5;348,0;299,7;3,12
2024-01-24;306;12,5;348,6;294,5;3,22
2024-01-24;307;12,5;348,6;290,7;2,96
2024-01-25;303;13,2;349,0;309,6;3,06
2024-01-25;304;12,9;348,0;298,4;3,08
2024-01-25;305;12,9;348,5;307,3;2,96
2024-01-25;306;12,9;348,4;306,5;3,08
2024-01-25;307;13,0;348,5;304,7;3,14
2024-01-26;303;11,5;348,8;285,6;3,13
2024-01-26;304;11,6;346,8;284,8;3,1
2024-01-26;305;11,8;347,9;297,5;3,03
2024-01-26;306;11,6;348,3;293,0;3,19
2024-01-26;307;11,8;346,9;296,9;3,08
2024-01-27;303;13,5;349,1;319,2;3,09
2024-01-27;304;13,6;348,9;321,5;3,17
2024-01-27;305;13,5;348,5;312,1;3,02
2024-01-27;306;13,5;347,5;318,0;3,09
2024-01-27;307;13,7;348,9;313,9;3,06
2024-01-28;303;16,3;349,8;352,7;3,11
2024-01-28;304;16,3;349,6;345,2;3,15
2024-01-28;305;16,5;350,6;346,5;3,1
2024-01-28;306;16,2;350,5;357,2;3,1
2024-01-28;307;16,2;349,8;340,3;3,04
2024-01-29;303;14,1;348,6;316,2;3,06
2024-01-29;304;14,4;348,4;313,7;3,13
2024-01-29;305;14,1;349,1;325,0;3,15
2024-01-29;306;14,2;349,4;320,4;3,1
2024-01-29;307;14,3;348,6;322,6;3,09
2024-01-30;303;11,8;347,3;290,6;3,17
2024-01-30;304;11,7;347,0;290,0;3,09
2024-01-30;305;11,6;347,6;282,4;3,05
2024-01-30;306;11,6;348,4;293,7;3,09
2024-01-30;307;11,9;347,4;295,0;3,1
2024-01-31;303;13,0;348,4;308,5;3,13
2024-01-31;304;13,1;349,1;303,5;3,1
2024-01-31;305;13,1;348,5;307,1;3,09
2024-01-31;306;12,9;349,2;311,6;3,14
2024-01-31;307;12,9;348,0;311,8;3,09
2024-02-01;303;15,5;350,2;330,2;3,15
2024-02-01;304;15,2;349,6;336,0;3,2
2024-02-01;305;15,2;348,6;330,8;3,15
2024-02-01;306;15,3;349,9;338,2;3,2
2024-02-01;307;15,1;349,3;321,8;3,06
2024-02-02;303;14,2;348,9;319,2;3,03
2024-02-02;304;14,2;348,7;323,5;3,15
2024-02-02;305;14,4;349,5;324,3;3,06
2024-02-02;306;14,4;350,3;330,7;3,18
2024-02-02;307;14,1;347,6;314,3;3,12
2024-02-03;303;13,8;348,5;316,3;3,16
2024-02-03;304;13,8;349,1;317,5;3,17
2024-02-03;305;13,9;349,1;312,9;3,11
2024-02-03;306;14,0;349,3;319,0;3,06
2024-02-03;307;13,9;348,8;318,2;3,14
2024-02-04;303;12,2;348,6;300,6;3,04
2024-02-04;304;12,0;348,1;294,7;3,16
2024-02-04;305;12,3;348,4;300,0;3,15
2024-02-04;306;12,2;348,5;295,0;3,06
