Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2025-01-01;303;11,8;345,5;181,3;1,81
2025-01-01;304;11,8;349,8;183,6;2,1
2025-01-01;305;11,7;345,2;186,9;1,69
2025-01-01;306;11,6;348,3;173,0;2,24
2025-01-01;307;11,8;346,2;186,6;1,68
2025-01-02;303;16,3;348,1;234,2;1,71
2025-01-02;304;16,0;347,5;233,1;1,71
2025-01-02;305;16,2;348,4;237,4;1,77
2025-01-02;306;16,2;348,7;245,6;1,71
2025-01-02;307;15,9;347,9;241,6;1,57
2025-01-03;303;13,9;346,8;207,0;1,77
2025-01-03;304;13,9;347,0;201,4;1,74
2025-01-03;305;14,1;346,4;206,5;1,73
2025-01-03;306;14,0;346,7;200,9;1,64
2025-01-03;307;13,9;347,1;204,3;1,73
2025-01-04;303;15,8;347,2;220,1;1,75
2025-01-04;304;16,1;348,1;238,9;1,7
2025-01-04;305;16,0;348,3;232,1;1,69
2025-01-04;306;16,0;348,4;240,8;1,61
2025-01-04;307;16,0;348,1;222,0;1,74
2025-01-05;303;14,9;351,3;225,1;2,06
2025-01-05;304;15,2;348,5;224,5;1,78
2025-01-05;305;14,9;347,3;208,3;1,71
2025-01-05;306;15,2;346,9;223,5;1,73
2025-01-05;307;15,0;346,6;225,6;1,74
2025-01-06;303;14,6;346,5;211,7;1,7
2025-01-06;304;14,6;346,6;220,0;1,72
2025-01-06;305;14,7;347,9;221,9;1,6
2025-01-06;306;14,9;346,7;215,0;1,64
2025-01-06;307;14,7;347,8;213,2;1,73
2025-01-07;303;15,4;347,6;220,6;1,69
2025-01-07;304;15,5;347,6;226,5;1,75
2025-01-07;305;15,5;347,7;225,1;1,73
2025-01-07;306;15,4;347,9;222,3;1,66
2025-01-07;307;15,6;347,3;233,6;1,55
2025-01-08;303;14,1;347,3;206,9;1,79
2025-01-08;304;14,2;347,4;214,3;1,76
2025-01-08;305;14,2;347,6;200,2;1,68
2025-01-08;306;14,2;347,2;206,0;1,63
2025-01-08;307;14,3;347,9;211,8;1,8
2025-01-09;303;12,9;346,5;197,8;1,78
2025-01-09;304;13,2;346,7;196,7;1,68
2025-01-09;305;13,2;347,0;193,7;1,7
2025-01-09;306;13,1;347,1;196,6;1,59
2025-01-09;307;13,3;346,4;204,2;1,75
2025-01-10;303;16,8;348,6;249,5;1,75
2025-01-10;304;16,7;348,3;249,2;1,76
2025-01-10;305;16,9;348,1;241,7;1,6
2025-01-10;306;16,8;349,5;242,8;1,6
2025-01-10;307;16,8;347,7;251,3;1,81
2025-01-11;303;12,2;346,2;186,1;1,72
2025-01-11;304;12,2;346,3;188,0;1,76
2025-01-11;305;12,1;345,9;186,6;1,65
2025-01-11;306;12,3;345,9;184,1;1,66
2025-01-11;307;12,3;345,9;187,3;1,61
2025-01-12;303;15,3;350,9;228,4;2,2
2025-01-12;304;15,4;347,8;227,2;1,73
2025-01-12;305;15,3;347,4;226,8;1,71
2025-01-12;306;15,2;348,2;223,0;1,69
2025-01-12;307;15,3;347,0;227,4;1,72
2025-01-13;303;11,9;346,5;183,2;1,72
2025-01-13;304;11,8;345,4;186,5;1,71
2025-01-13;305;12,0;345,5;183,7;1,7
2025-01-13;306;11,8;346,5;192,2;1,69
2025-01-13;307;12,0;346,3;188,8;1,75
2025-01-14;303;13,9;347,0;206,0;1,71
2025-01-14;304;13,9;347,4;203,5;1,66
2025-01-14;305;14,1;346,7;208,5;1,65
2025-01-14;306;14,1;347,8;212,5;1,69
2025-01-14;307;13,9;346,7;201,4;1,65
2025-01-15;303;15,2;349,4;228,6;2,05
2025-01-15;304;15,4;346,7;222,9;1,73
2025-01-15;305;15,3;348,2;225,6;1,63
2025-01-15;306;15,2;347,6;235,0;1,76
2025-01-15;307;15,4;347,6;225,9;1,71
2025-01-16;303;14,4;346,4;210,7;1,68
2025-01-16;304;14,2;346,4;206,7;1,79
2025-01-16;305;14,3;346,7;218,9;1,64
2025-01-16;306;14,2;347,4;215,7;1,63
2025-01-16;307;14,4;346,9;209,3;1,65
2025-01-17;303;15,4;348,7;222,5;1,65
2025-01-17;304;15,5;347,4;224,4;1,62
2025-01-17;305;15,3;347,9;226,6;1,73
2025-01-17;306;15,4;348,1;224,0;1,65
2025-01-17;307;15,2;347,2;223,6;1,73
2025-01-18;303;16,1;348,6;230,1;1,67
2025-01-18;304;16,1;348,2;236,6;1,79
2025-01-18;305;15,9;348,2;234,9;1,65
2025-01-18;306;16,3;348,7;227,8;1,72
2025-01-18;307;16,3;346,8;233,8;1,62
2025-01-19;303;16,9;348,9;238,2;1,71
2025-01-19;304;16,5;348,0;232,7;1,77
2025-01-19;305;16,6;348,1;233,3;1,71
2025-01-19;306;16,7;347,8;243,5;1,64
2025-01-19;307;16,5;347,7;237,3;1,63
